Month,	Kanpur
Jan-10,	474.7
Feb-10,	345.3
Mar-10,	378.9
Apr-10,	343.0
May-10,	378.8
Jun-10,	413.3
Jul-10,	512.9
Aug-10,	453.3
Sep-10,	431.8
Oct-10,	518.0
Nov-10,	577.1
Dec-10,	491.7
Jan-11,	360.2
Feb-11,	323.5
Mar-11,	407.6
Apr-11,	408.0
May-11,	429.5
Jun-11,	498.1
Jul-11,	632.7
Aug-11,	629.2
Sep-11,	651.3
Oct-11,	579.0
Nov-11,	431.6
Dec-11,	357.4
Jan-12,	310.0
Feb-12,	378.3
Mar-12,	545.5
Apr-12,	702.1
May-12,	956.7
Jun-12,	1078.8
Jul-12,	1264.8
Aug-12,	1333.6
Sep-12,	1295.4
Oct-12,	1113.5
Nov-12,	989.1
Dec-12,	749.8
Jan-13,	547.7
Feb-13,	561.3
Mar-13,	629.6
Apr-13,	725.4
May-13,	881.9
Jun-13,	960.2
Jul-13,	1034.6
Aug-13,	949.0
Sep-13,	833.3
Oct-13,	1132.8
Nov-13,	1334.8
Dec-13,	1165.9
Jan-14,	759.4
Feb-14,	710.4
Mar-14,	887.4
Apr-14,	1008.4
May-14,	1377.6
Jun-14,	1435.6
Jul-14,	1632.2
Aug-14,	1730.0
Sep-14,	1825.8
Oct-14,	2066.7
Nov-14,	1953.6
Dec-14,	878.6
Jan-15,	601.0
Feb-15,	608.0
Mar-15,	606.5
Apr-15,	564.4
May-15,	558.5
Jun-15,	682.6
Jul-15,	777.6
Aug-15,	799.1
Sep-15,	858.0
Oct-15,	906.4
Nov-15,	789.3
Dec-15,	663.8
Jan-16,	500.0
Feb-16,	484.2
Mar-16,	731.7
Apr-16,	865.0
May-16,	1035.4
Jun-16,	1289.6
Jul-16,	1416.8
Aug-16,	1593.5
Sep-16,	1343.9
Oct-16,	1123.8
Nov-16,	908.8
Dec-16,	564.2
Jan-17,	402.4
Feb-17,	385.5
Mar-17,	411.0
Apr-17,	443.1
May-17,	436.7
Jun-17,	554.4
Jul-17,	575.8
Aug-17,	545.6
Sep-17,	567.3
Oct-17,	530.4
Nov-17,	468.7
Dec-17,	411.6
Jan-18,	506.3
Feb-18,	503.1
Mar-18,	782.3
Apr-18,	974.8
May-18,	1161.7
Jun-18,	1316.3
Jul-18,	1311.4
Aug-18,	1254.0
Sep-18,	1223.0
Oct-18,	1231.6
Nov-18,	1137.3
Dec-18,	655.2
Jan-19,	479.8
Feb-19,	422.5
Mar-19,	731.5
Apr-19,	619.0
May-19,	651.2
Jun-19,	911.4
Jul-19,	905.0
Aug-19,	875.2
Sep-19,	899.0
Oct-19,	1147.0
Nov-19,	1120.2
Dec-19,	1133.7
Jan-20,	1120.9
Feb-20,	895.2
Mar-20,	1339.1
Apr-20,	1444.0
May-20,	1343.7
Jun-20,	1480.4
Jul-20,	2239.8
Aug-20,	2372.5
Sep-20,	2457.6
Oct-20,	2987.3
Nov-20,	3284.2
Dec-20,	1898.7
Jan-21,	721.5
Feb-21,	604.8
Mar-21,	630.2
Apr-21,	779.2
May-21,	957.8
Jun-21,	1092.2
Jul-21,	1033.7
Aug-21,	1005.2
Sep-21,	1023.1
Oct-21,	1016.0
Nov-21,	1584.5
Dec-21,	891.0
Jan-22,	694.4
Feb-22,	707.7
Mar-22,	812.7
Apr-22,	856.5
May-22,	1093.5
Jun-22,	1387.9
Jul-22,	1571.3
Aug-22,	1676.7
Sep-22,	1689.0
Oct-22,	1715.2
Nov-22,	1693.8
Dec-22,	1208.9
Jan-23,	872.5
Feb-23,	772.5
Mar-23,	652.6923077
Apr-23,	793
May-23,	946.2
Jun-23,	960.9615385
Jul-23,	1110.384615
Aug-23,	1138.653846
Sep-23,	1071.346154
Oct-23,	976.4
Nov-23,	920.7692308
Dec-23,	757.5
Jan-24,	725.4
Feb-24,	788
Mar-24,	1213.409091
Apr-24,	1635
May-24,	1795.192308
Jun-24,	1820.681818
Jul-24,	2165.37037
Aug-24,	2169.230769
Sep-24,	2024.565217
Oct-24,	2094.8
Nov-24,	1932.5
Dec-24,	1786.923077
Jan-25,	1271.071429
Feb-25,	1023.913043
Mar-25,	1217.045455
Apr-25,	1280
